"پراید،131، SE",0,0,47000000
"پراید،111، SE",0,0,51500000
"پژو،206،  تیپ 2",0,0,89000000
"پژو،206،  تیپ 5",0,0,105000000
"پژو،206،  تیپ 2",71000,3,68000000
"پژو،405، GLX بنزینی",0,0,79500000
"پژو،206،  تیپ 5",0,0,108000000
"پژو،405، GLX بنزینی",0,0,79000000
"پژو،206،  تیپ 2",270000,14,42000000
"پراید،131، SE",0,0,50000000
"پژو،405، GLX بنزینی",42000,1,71500000
"پژو،206،  تیپ 5",0,0,106000000
"پژو،206،  تیپ 5",130000,3,83000000
"پژو،206،  تیپ 2",213000,14,37000000
"ساینا،EX دنده ای",0,0,65200000
"پراید،صندوق دار",186000,11,24000000
"ساینا،EX دنده ای",0,0,66300000
"ب ام و،X4، 28",0,2,1800000000
"پژو،206 SD، V8",0,0,110000000
"پژو،206،  تیپ 2",0,0,92500000
"پژو،405، GLX بنزینی",0,0,79000000
"پژو،206،  تیپ 2",0,0,91000000
"پژو،206،  تیپ 2",183000,15,38000000
"پژو،405، GLX بنزینی",150000,7,45000000
"پراید،131، SE",0,0,49600000
"پژو،206 SD، V8",0,0,107000000
"پژو،206،  تیپ 5",24000,1,94500000
"ساینا،EX دنده ای",0,0,65000000
"پژو،405، GLX بنزینی",0,0,78000000
"پژو،206 SD، V8",140000,2,86000000
"ساینا،EX دنده ای",45000,2,56000000
"مزدا،3 جدید صندوق دار (مونتاژ)، 2.0 لیتر تیپ 4",49000,2,359000000
"پژو،206 SD، V8",96000,8,70000000
"رنو،تندر90، E2",70000,3,95000000
"رنو،تندر90، E2",69000,3,95000000
"پژو،405، GLX بنزینی",91000,4,55000000
"پژو،405، GLX بنزینی",200000,10,41500000
"رنو،تندر90، E2",64000,2,125000000
"پژو،206،  تیپ 5",134000,5,75500000
"پراید،صندوق دار",223000,12,26000000
"پژو،206،  تیپ 2",0,0,90500000
"پژو،206،  تیپ 2",0,0,89500000
"سمند،LX، ساده",0,0,84000000
"پراید،131، SE",33000,1,45000000
"بنز،کلاس C، C200",100000,8,610000000
"پژو،206 SD، V8",0,0,112000000
"پژو،206،  تیپ 2",0,0,92000000
"ب ام و،X4، 28",30000,3,1600000000
"ب ام و،X4، 28",42000,3,1600000000
"پژو،206،  تیپ 5",70000,5,80000000
"ب ام و،X4، 28",85000,4,1235000000
"پژو،206،  تیپ 2",0,0,91500000
"کیا،اپتیما، ساده",120000,6,400000000
"رنو،تندر90، E2",22000,1,128000000
"رنو،تندر90، E2",45000,3,111000000
"پژو،206،  تیپ 5",19000,1,95500000
"پژو،206 SD، V8",57000,3,82000000
"پژو،405، GLX بنزینی",95000,4,60000000
"مزدا،3 جدید صندوق دار (مونتاژ)، 2.0 لیتر تیپ 4",0,0,423000000
"ساینا،EX دنده ای",0,0,61000000
"پراید،111، SE",0,0,49000000
"ساینا،EX دنده ای",0,0,65000000
"پژو،206،  تیپ 2",0,0,90000000
"سمند،LX، ساده",400000,14,34000000
"مزدا،3 جدید صندوق دار (مونتاژ)، 2.0 لیتر تیپ 4",35000,2,338000000
"ساینا،EX دنده ای",0,0,65000000
"پژو،405، GLX بنزینی",204000,9,45000000
"ب ام و،X4، 28",10000,2,1950000000
"پژو،206،  تیپ 2",0,0,92000000
"پراید،صندوق دار",292000,13,23500000
"پراید،131، SE",0,0,47700000
"پراید،131، SE",0,0,49500000
"مزدا،3 جدید صندوق دار (مونتاژ)، 2.0 لیتر تیپ 4",0,0,425000000
